sigtime,inti,type,signals
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
2024-04-10 10:00:00,0,signals,0
